Date,Open,High,Low,Close,Volume
2023-01-02,4.64,4.8,4.55,4.7,2009500.0
2023-01-03,4.75,4.79,4.69,4.72,1181500.0
2023-01-04,4.75,4.75,4.69,4.71,902500.0
2023-01-05,4.7,4.77,4.65,4.76,1719500.0
2023-01-06,4.75,4.79,4.68,4.71,937000.0
2023-01-09,4.62,4.74,4.6,4.66,1178500.0
2023-01-10,4.67,4.78,4.67,4.74,342000.0
2023-01-11,4.7,4.78,4.6,4.66,1107000.0
2023-01-12,4.71,4.78,4.68,4.73,554500.0
2023-01-13,4.69,4.84,4.6,4.64,832000.0
2023-01-16,4.71,4.78,4.6,4.61,446500.0
2023-01-17,4.58,4.63,4.45,4.49,1624500.0
2023-01-18,4.51,4.59,4.49,4.54,626500.0
2023-01-19,4.64,4.64,4.49,4.52,2091500.0
2023-01-20,4.49,4.55,4.45,4.5,538000.0
2023-01-23,4.49,4.59,4.41,4.53,1286500.0
2023-01-24,4.49,4.59,4.45,4.51,1369500.0
2023-01-25,4.58,4.68,4.5,4.6,2375000.0
2023-01-26,4.6,4.83,4.6,4.75,7057500.0
2023-01-27,4.79,4.85,4.62,4.63,3922000.0
2023-01-30,4.7,4.75,4.62,4.64,866000.0
2023-01-31,4.65,4.75,4.63,4.73,1196500.0
2023-02-01,4.71,4.83,4.7,4.82,2046000.0
2023-02-02,4.85,4.85,4.72,4.79,1567000.0
2023-02-03,4.8,4.85,4.74,4.83,1429500.0
2023-02-06,4.82,4.9,4.8,4.88,1543000.0
2023-02-07,4.94,4.94,4.9,4.91,789500.0
2023-02-08,4.88,4.94,4.81,4.84,1529000.0
2023-02-09,4.87,4.94,4.85,4.93,4736000.0
2023-02-10,4.86,5.03,4.83,4.97,5222500.0
2023-02-13,4.99,5.16,4.99,5.1,4721500.0
2023-02-14,5.13,5.16,5.04,5.06,2112000.0
2023-02-15,5.11,5.11,4.87,4.91,2713500.0
2023-02-16,4.89,5.0,4.81,4.9,1832000.0
2023-02-17,5.02,5.18,4.71,4.76,12157000.0
2023-02-20,4.79,4.79,4.56,4.66,3994000.0
2023-02-21,4.65,4.7,4.52,4.56,2795500.0
2023-02-22,4.65,4.65,4.45,4.5,6636000.0
2023-02-23,4.51,4.65,4.51,4.57,2986000.0
2023-02-24,4.6,4.63,4.49,4.51,1619500.0
2023-02-27,4.51,4.63,4.45,4.52,3307500.0
2023-02-28,4.54,4.54,4.4,4.43,2072500.0
2023-03-01,4.42,4.48,4.39,4.4,1541500.0
2023-03-02,4.47,4.47,4.35,4.36,2547500.0
2023-03-03,4.39,4.56,4.2,4.38,10476000.0
2023-03-06,4.4,4.44,4.38,4.4,3457000.0
2023-03-07,4.48,4.48,4.31,4.35,2445000.0
2023-03-08,4.43,4.43,4.3,4.31,5169500.0
2023-03-09,4.4,4.42,4.29,4.38,1433500.0
2023-03-10,4.36,4.48,4.36,4.45,1214500.0
2023-03-13,4.47,4.48,4.4,4.43,1383000.0
2023-03-14,4.39,4.45,4.38,4.41,2074500.0
2023-03-15,4.42,4.42,4.35,4.39,1922500.0
2023-03-16,4.39,4.43,4.38,4.39,2655000.0
2023-03-17,4.44,4.44,4.36,4.39,1938500.0
2023-03-20,4.43,4.46,4.38,4.43,2463000.0
2023-03-21,4.15,4.16,4.03,4.07,1909000.0
2023-03-22,4.15,4.15,4.05,4.06,1299500.0
2023-03-24,4.05,4.09,4.01,4.05,584000.0
2023-03-27,4.0,4.12,4.0,4.05,666000.0
2023-03-28,4.05,4.08,4.02,4.04,247500.0
2023-03-29,4.01,4.08,4.0,4.05,1710000.0
2023-03-30,4.05,4.14,4.0,4.02,1490500.0
2023-03-31,4.06,4.06,4.0,4.03,403000.0
2023-04-03,4.09,4.19,3.93,3.97,3492500.0
2023-04-04,4.04,4.05,3.85,3.88,3588500.0
2023-04-05,3.95,3.97,3.85,3.88,1047000.0
2023-04-06,3.95,3.96,3.88,3.93,1641500.0
2023-04-07,3.97,3.99,3.84,3.85,1571000.0
2023-04-10,3.84,3.9,3.81,3.84,556000.0
2023-04-11,3.82,3.88,3.81,3.85,481000.0
2023-04-12,3.85,3.95,3.83,3.91,990500.0
2023-04-13,3.9,3.97,3.56,3.95,1965500.0
2023-04-17,3.99,4.04,3.95,3.96,1347000.0
2023-04-18,3.96,4.0,3.7,3.95,1498000.0
2023-04-19,3.81,4.04,3.81,4.01,1539500.0
2023-04-20,4.03,4.07,3.98,4.05,1200000.0
2023-04-26,3.99,4.08,3.99,4.02,1332000.0
2023-04-27,4.02,4.07,3.97,4.06,1812500.0
2023-04-28,4.08,4.09,3.82,3.87,6120500.0
2023-05-02,3.9,3.96,3.87,3.9,1423000.0
2023-05-03,3.95,3.95,3.85,3.89,1114500.0
2023-05-04,3.94,3.94,3.8,3.82,1416500.0
2023-05-05,3.85,3.95,3.8,3.92,1577500.0
2023-05-08,3.85,3.92,3.84,3.84,888000.0
2023-05-09,3.91,3.91,3.75,3.77,2333500.0
